project_id,city,region,project_type,land_area_m2,building_area_m2,floors,units,finishing_level,construction_method,structural_system,concrete_m3,steel_ton,blocks_m2,tiles_m2,paint_m2,electrical_points,plumbing_points,estimated_cost_sar,duration_months,year
SA-R00976,Dammam,Eastern,Mosque,,4695.934479223826,1,42,Raw,Traditional,RC Frame,1049,105.49,8453,3052,10331,704,188,4320000,22,2023
SA-R00977,Makkah,Western,Residential_Compound,,14341.775771238323,2,115,Good,Precast,RC Frame,4564,452.24,51630,18644,63104,4303,1147,77080000,53,2026
SA-R00978,Makkah,Western,Mall,,92233.58043434308,2,517,Good,PostTension,RC Frame,42695,4969.57,332041,119904,405828,27670,7379,498040000,136,2025
SA-R00979,Jeddah,Western,Bridge,,,,,Luxury,SlipForm,RC Frame,,,,,,,,0,16,2024
SA-R00980,Madinah,Western,Residential_Compound,,23306.06066201842,1,128,Good,SteelFrame,RC Frame,4454,442.33,41951,15149,51273,3496,932,62560000,58.5,2024
SA-R00981,Hail,Northern,Hotel,,4097.87776123269,40,31,Luxury,Precast,RC Frame,36270,4526.69,295047,106545,360613,24587,6557,933380000,72.5,2021
SA-R00982,Khobar,Eastern,School,,4464.385628403245,4,25,Luxury,SlipForm,RC Frame,4063,427.46,32144,11607,39287,2679,714,119610000,29.5,2026
SA-R00983,Abha,Southern,Factory,,43120.50435765996,3,225,UltraLuxury,Traditional,Steel Frame,14203,1443.07,232851,84085,284595,19404,5174,1229400000,76,2026
SA-R00984,Riyadh,Central,Warehouse,,6402.543148582393,1,74,UltraLuxury,Precast,RC Frame,785,65.98,11525,4162,14086,960,256,80110000,23,2021
SA-R00985,Tabuk,Northern,Government_Building,,21188.012176023472,8,140,Good,Precast,RC Frame,39787,4268.4,305107,110178,372909,25426,6780,414440000,80,2024
SA-R00986,Najran,Southern,Hotel,,11775.538574381972,32,138,Standard,Traditional,RC Frame,100665,12887,678271,244931,828998,56523,15073,554520000,87.5,2020
SA-R00987,Khobar,Eastern,Factory,,21303.932079420476,1,127,UltraLuxury,Precast,Steel Frame,4045,399.39,38347,13848,46869,3196,852,245140000,58.5,2022
SA-R00988,Khobar,Eastern,DataCenter,,1919.332175112508,3,12,Good,Traditional,RC Frame,1389,180.25,10364,3743,12668,864,230,17210000,22.5,2020
SA-R00989,Dammam,Eastern,Residential_Compound,,7377.314100271867,1,43,Standard,PostTension,RC Frame,1490,155.61,13279,4795,16230,1107,295,13980000,37.5,2024
SA-R00990,Najran,Southern,Road,,,,,Good,SteelFrame,RC Frame,,,,,,,,0,16,2022
SA-R00991,Hail,Northern,School,,3047.806188633712,2,18,Raw,ICF,RC Frame,1094,118.87,10972,3962,13410,914,244,5130000,22.5,2026
SA-R00992,Buraydah,Central,Parking,,4828.261329261792,5,26,UltraLuxury,AAC,RC Frame,4100,368.86,43454,15692,53111,3621,966,256680000,29,2020
SA-R00993,Abha,Southern,Residential_Compound,,27140.04646314573,1,203,Raw,SteelFrame,RC Frame,4503,429.72,48852,17641,59708,4071,1086,22670000,67.5,2020
SA-R00994,Taif,Western,Road,,,,,Good,AAC,RC Frame,,,,,,,,0,14.5,2024
SA-R00995,Khamis Mushait,Southern,Residential_Tower,,20738.38792710549,45,107,Standard,SteelFrame,Flat Slab,263936,33812.69,1679809,606598,2053100,139984,37329,1461390000,123.5,2021
SA-R00996,Jeddah,Western,Factory,,9566.997018343049,1,91,Luxury,AAC,Steel Frame,2441,224.52,17221,6219,21047,1435,383,62440000,43.5,2026
SA-R00997,Dammam,Eastern,DataCenter,,4783.760844793332,1,42,Good,Traditional,RC Frame,1450,185.44,8611,3109,10524,718,191,13370000,26.5,2026
SA-R00998,Najran,Southern,Road,,,,,Standard,AAC,RC Frame,,,,,,,,0,16.5,2021
SA-R00999,Makkah,Western,Residential_Tower,,11985.561639523625,41,92,Luxury,PostTension,Flat Slab,141521,17595.49,884534,319415,1081098,73711,19656,3155150000,119.5,2024
SA-R01000,Makkah,Western,DataCenter,,3483.4008643098214,2,20,Good,SlipForm,RC Frame,1523,182.85,12540,4528,15327,1045,279,19550000,26,2026
SA-R01001,Abha,Southern,Government_Building,,4793.88027014772,4,41,Standard,Traditional,RC Frame,4297,496.36,34516,12464,42186,2876,767,32400000,38.5,2025
SA-R01002,Khobar,Eastern,Apartment_Building,,7675.222490105983,9,60,Luxury,AAC,RC Frame,14593,1772.8,124339,44900,151969,10362,2763,461730000,39,2026
SA-R01003,Riyadh,Central,Office_Building,,4363.909183441314,5,28,Luxury,Precast,RC Frame,4686,542.82,39275,14183,48003,3273,873,155920000,29,2021
SA-R01004,Dammam,Eastern,Villa,311,686.50266128922,2,1,Luxury,SteelFrame,RC Frame,301,33.63,2471,892,3021,206,55,8840000,10.5,2020
SA-R01005,Khobar,Eastern,DataCenter,,4398.005758272873,4,25,UltraLuxury,SteelFrame,RC Frame,3715,449.09,31666,11435,38702,2639,704,211370000,29,2026
SA-R01006,Riyadh,Central,Hotel,,21214.17104353444,15,115,Good,SteelFrame,RC Frame,94694,12254.74,572783,206838,700068,47732,12729,1007760000,85.5,2020
SA-R01007,Makkah,Western,Residential_Tower,,34734.43507527567,20,398,Premium,Traditional,Shear Wall,176664,22712.51,1250440,451548,1528315,104203,27788,2879170000,131.5,2026
SA-R01008,Abha,Southern,University,,51107.380173647696,8,286,Luxury,SlipForm,RC Frame,98004,10890.29,735946,265758,899490,61329,16354,2408040000,83.5,2022
SA-R01009,Dammam,Eastern,Office_Building,,11123.635706400906,18,59,UltraLuxury,Traditional,RC Frame,50968,5851.35,360406,130147,440496,30034,8009,2306050000,48,2022
SA-R01010,Tabuk,Northern,Townhouse_Project,,6188.158810354376,4,44,Standard,Precast,RC Frame,4780,517.46,44555,16089,54456,3713,990,37380000,34.5,2021
SA-R01011,Najran,Southern,Residential_Tower,,39789.03624102344,33,311,Raw,PostTension,Shear Wall,382419,47439.81,2363469,853475,2888684,196956,52522,998290000,164,2024
SA-R01012,Khamis Mushait,Southern,Factory,,16608.601813231922,3,151,Premium,PostTension,Steel Frame,6827,615.11,89686,32387,109617,7474,1993,177170000,60,2026
SA-R01013,Dammam,Eastern,DataCenter,,3551.5321330489155,3,19,Good,Traditional,RC Frame,2987,378.22,19178,6925,23440,1598,426,30760000,25,2022
SA-R01014,Hail,Northern,Parking,,16386.875384060215,2,193,Standard,SteelFrame,RC Frame,4861,432.04,58993,21303,72102,4916,1311,54170000,50,2024
SA-R01015,Tabuk,Northern,Apartment_Building,,4195.1556898938525,4,22,Luxury,Traditional,RC Frame,4147,482.61,30205,10907,36917,2517,671,94810000,28.5,2025
SA-R01016,Buraydah,Central,Residential_Tower,,38383.59469338168,27,321,Raw,Precast,Shear Wall,248409,32319.41,1865443,673632,2279986,155454,41454,920780000,136.5,2020
SA-R01017,Khobar,Eastern,DataCenter,,3837.112779752019,2,24,Premium,Traditional,RC Frame,1877,242.41,13814,4988,16883,1151,307,33400000,26.5,2021
SA-R01018,Buraydah,Central,Mall,,85874.32608117878,2,435,Premium,PostTension,RC Frame,42715,5216.57,309148,111637,377847,25762,6870,674440000,123.5,2026
SA-R01019,Buraydah,Central,Luxury_Villa,412,1221.364038119667,2,1,Raw,Traditional,RC Frame,468,53.56,4397,1588,5374,366,98,2050000,15,2023
SA-R01020,Khamis Mushait,Southern,Office_Building,,5801.431285791401,20,70,UltraLuxury,SteelFrame,RC Frame,29153,3322.09,208852,75419,255263,17404,4641,1066410000,43.5,2022
SA-R01021,Riyadh,Central,Luxury_Villa,1589,2429.209749492721,2,1,Premium,SteelFrame,RC Frame,843,102.69,8745,3158,10689,729,194,21170000,20,2021
SA-R01022,Khobar,Eastern,Government_Building,,10203.829223049212,7,121,UltraLuxury,SlipForm,RC Frame,17437,1938.26,128568,46427,157139,10714,2857,858630000,55,2023
SA-R01023,Makkah,Western,Residential_Tower,,19009.354908562593,23,189,Good,ICF,Flat Slab,141458,19240,786987,284190,961873,65582,17489,1167640000,106,2022
SA-R01024,Dammam,Eastern,Road,,,,,UltraLuxury,Precast,RC Frame,,,,,,,,0,15.5,2020
SA-R01025,Jeddah,Western,Villa,326,832.5948478291004,2,1,Luxury,SteelFrame,Load Bearing,313,32.98,2997,1082,3663,250,67,10820000,11.5,2020
SA-R01026,Najran,Southern,Residential_Compound,,25964.986280040088,3,134,Premium,PostTension,RC Frame,14298,1467.41,140211,50632,171369,11684,3116,266280000,67.5,2023
SA-R01027,Buraydah,Central,University,,68660.33414110276,2,427,Standard,ICF,RC Frame,22299,2368.27,247177,89258,302105,20598,5493,229160000,82.5,2021
SA-R01028,Khobar,Eastern,Luxury_Villa,433,810.0903094168314,4,1,Good,PostTension,RC Frame,686,79.83,5833,2106,7129,486,130,9370000,15.5,2022
SA-R01029,Khobar,Eastern,Hotel,,13536.611103957692,35,145,Premium,PostTension,RC Frame,121997,14604.49,852806,307958,1042319,71067,18951,2094220000,97.5,2022
SA-R01030,Makkah,Western,Government_Building,,4528.45883710891,7,39,Raw,ICF,RC Frame,6842,773.63,57059,20604,69738,4755,1268,29140000,41.5,2021
SA-R01031,Najran,Southern,CommercialComplex,,25973.746489573976,5,141,Raw,SlipForm,RC Frame,30920,3496.26,233764,84415,285711,19480,5195,95670000,60.5,2026
SA-R01032,Abha,Southern,Mosque,,4170.563987671119,1,23,Standard,Traditional,RC Frame,805,79.07,7507,2711,9175,626,167,6350000,20,2020
SA-R01033,Buraydah,Central,Villa,333,516.3892593285352,1,1,Good,SteelFrame,Load Bearing,131,15.57,930,336,1136,77,21,1390000,9,2022
SA-R01034,Dammam,Eastern,Office_Building,,18211.217894338057,9,209,Standard,PostTension,RC Frame,31622,3529.8,295022,106536,360582,24585,6556,310980000,57,2020
SA-R01035,Riyadh,Central,Office_Building,,10962.062559165619,19,105,UltraLuxury,AAC,RC Frame,53404,5874.23,374903,135381,458214,31242,8331,2533920000,51,2025
SA-R01036,Hail,Northern,DataCenter,,2232.6605516136387,2,17,Standard,Precast,RC Frame,937,113.12,8038,2902,9824,670,179,7270000,22,2026
SA-R01037,Madinah,Western,Apartment_Building,,4151.398280244972,8,36,Good,SteelFrame,Flat Slab,7945,899.8,59780,21587,73065,4982,1328,90830000,32,2020
SA-R01038,Abha,Southern,CommercialComplex,,15095.218095867252,10,80,Premium,ICF,RC Frame,37666,4368.44,271714,98119,332095,22643,6038,533440000,45.5,2020
SA-R01039,Taif,Western,Road,,,,,Premium,Traditional,RC Frame,,,,,,,,0,16,2021
SA-R01040,Jeddah,Western,Hospital,,7846.65945019118,12,68,Raw,SteelFrame,RC Frame,23171,3170.62,169488,61204,207152,14124,3766,88680000,80.5,2023
SA-R01041,Riyadh,Central,Luxury_Villa,509,1034.676689870942,2,1,Luxury,SteelFrame,RC Frame,398,49.04,3725,1345,4553,310,83,14240000,15,2022
SA-R01042,Makkah,Western,Mosque,,3961.566022789475,1,23,UltraLuxury,AAC,RC Frame,875,82.77,7131,2575,8715,594,158,43510000,21,2020
SA-R01043,Khamis Mushait,Southern,Mall,,71193.82425296002,5,580,UltraLuxury,Precast,RC Frame,72240,8927.77,640744,231380,783132,53395,14239,3224790000,122,2022
SA-R01044,Najran,Southern,Hospital,,44110.827537375066,9,292,Raw,AAC,Steel Frame,129383,17013.51,714595,258048,873394,59550,15880,292360000,126.5,2024
SA-R01045,Makkah,Western,Apartment_Building,,7621.832382493193,5,41,Luxury,SteelFrame,Flat Slab,8561,944.02,68596,24771,83840,5716,1524,232730000,35.5,2022
SA-R01046,Hail,Northern,Mall,,31910.25657954488,5,180,Premium,Traditional,RC Frame,41141,5177.08,287192,103708,351013,23933,6382,605940000,89,2026
SA-R01047,Khamis Mushait,Southern,University,,57031.04525285848,6,320,UltraLuxury,SlipForm,RC Frame,71810,8200.85,615935,222421,752810,51328,13687,3210980000,76.5,2025
SA-R01048,Khamis Mushait,Southern,Warehouse,,14676.806562126807,2,80,Raw,Traditional,RC Frame,2534,205.54,52837,19080,64578,4403,1174,22360000,37,2022
SA-R01049,Khobar,Eastern,Hospital,,12803.35357151859,9,83,UltraLuxury,SlipForm,Shear Wall,38425,5212.72,207414,74900,253506,17285,4609,1339970000,90.5,2020
SA-R01050,Najran,Southern,Apartment_Building,,6276.765723252495,5,39,Luxury,SteelFrame,Flat Slab,7874,900.8,56491,20399,69044,4708,1255,164790000,34,2021
SA-R01051,Khobar,Eastern,School,,1767.4637346190457,2,12,Luxury,SlipForm,RC Frame,788,83.62,6363,2298,7777,530,141,24220000,19,2023
SA-R01052,Riyadh,Central,Bridge,,,,,Good,Traditional,RC Frame,,,,,,,,0,15,2021
SA-R01053,Najran,Southern,Residential_Tower,,26053.170108393388,34,249,Raw,ICF,Shear Wall,231426,30093.39,1594454,575775,1948777,132871,35432,689020000,140,2024
SA-R01054,Tabuk,Northern,Luxury_Villa,1423,2590.1804007389574,3,1,Raw,ICF,RC Frame,1614,188.86,13987,5051,17095,1166,311,6210000,20,2021
SA-R01055,Madinah,Western,Mosque,,3952.6603509895313,3,36,UltraLuxury,Precast,RC Frame,1988,195.17,21344,7708,26088,1779,474,124000000,21.5,2025
SA-R01056,Riyadh,Central,Townhouse_Project,,13409.061079545172,3,78,Raw,ICF,RC Frame,7787,844.3,72409,26148,88500,6034,1609,39380000,43.5,2024
SA-R01057,Riyadh,Central,Office_Building,,3175.7103089983234,7,16,UltraLuxury,ICF,RC Frame,5896,653.17,40014,14449,48906,3334,889,259790000,28,2025
SA-R01058,Madinah,Western,University,,51815.694945987634,2,375,Premium,AAC,RC Frame,18881,1955.3,186537,67360,227989,15545,4145,422820000,79,2026
SA-R01059,Khobar,Eastern,Luxury_Villa,870,1649.452118102709,4,1,Premium,ICF,RC Frame,1526,183.15,11876,4289,14515,990,264,29480000,19,2022
SA-R01060,Abha,Southern,Apartment_Building,,3936.043915170122,8,33,Standard,SlipForm,Flat Slab,7134,820.62,56679,20467,69274,4723,1260,50950000,27,2020
SA-R01061,Khobar,Eastern,Warehouse,,6346.785226856363,1,75,UltraLuxury,SlipForm,RC Frame,768,66.61,11424,4125,13963,952,254,71130000,24,2025
SA-R01062,Khobar,Eastern,Townhouse_Project,,2221.20297644174,4,21,UltraLuxury,SlipForm,RC Frame,1583,173.6,15993,5775,19547,1333,355,103690000,24,2026
SA-R01063,Taif,Western,Bridge,,,,,Premium,AAC,RC Frame,,,,,,,,0,13.5,2020
SA-R01064,Dammam,Eastern,Government_Building,,8763.45487631168,10,62,Good,ICF,RC Frame,19267,2041.24,157742,56962,192796,13145,3505,245520000,58.5,2024
SA-R01065,Abha,Southern,Luxury_Villa,856,1843.860790768869,3,1,Premium,AAC,RC Frame,1139,128.01,9957,3596,12169,830,221,19500000,18,2022
SA-R01066,Abha,Southern,School,,9045.95229223813,2,112,Standard,SlipForm,RC Frame,2568,271.08,32565,11760,39802,2714,724,30110000,31.5,2020
SA-R01067,Tabuk,Northern,Road,,,,,Good,SlipForm,RC Frame,,,,,,,,0,15,2026
SA-R01068,Buraydah,Central,Office_Building,,12422.881191170463,18,147,UltraLuxury,Traditional,RC Frame,49890,5433.76,402501,145348,491946,33542,8944,2399860000,52.5,2022
SA-R01069,Riyadh,Central,Mall,,6668.263925543746,5,51,Luxury,ICF,RC Frame,6192,729.11,60014,21672,73351,5001,1334,235800000,48,2020
SA-R01070,Taif,Western,Factory,,34397.569178108315,2,200,UltraLuxury,AAC,Steel Frame,10988,1064.88,123831,44717,151349,10319,2752,719540000,75,2021
SA-R01071,Taif,Western,Factory,,48522.07114721914,2,246,Good,Traditional,RC Frame,15564,1431.01,174679,63079,213497,14557,3882,253590000,85.5,2022
SA-R01072,Buraydah,Central,CommercialComplex,,6850.816534032747,6,54,Luxury,Precast,RC Frame,9918,1218.51,73989,26718,90431,6166,1644,252390000,40.5,2021
SA-R01073,Abha,Southern,School,,7710.890493076114,3,63,UltraLuxury,PostTension,RC Frame,5523,571.32,41639,15036,50892,3470,925,225090000,36,2024
SA-R01074,Abha,Southern,Road,,,,,Luxury,Traditional,RC Frame,,,,,,,,0,14.5,2026
SA-R01075,Jeddah,Western,Factory,,39385.67598257483,1,344,Good,Precast,Precast,8057,743.45,70894,25601,86648,5908,1575,113610000,81.5,2025
SA-R01076,Taif,Western,Mall,,82763.13421892714,6,645,Good,AAC,RC Frame,108833,13575.48,893842,322776,1092473,74487,19863,1270420000,117.5,2022
SA-R01077,Tabuk,Northern,Villa,433,804.9895946257058,1,1,UltraLuxury,SteelFrame,Steel Frame,182,20.91,1449,523,1771,121,32,7620000,10,2020
SA-R01078,Madinah,Western,University,,30215.852786637104,3,245,Premium,SteelFrame,RC Frame,22605,2344.66,163166,58921,199425,13597,3626,376090000,62,2026
SA-R01079,Dammam,Eastern,Bridge,,,,,Good,SteelFrame,RC Frame,,,,,,,,0,16,2026
SA-R01080,Tabuk,Northern,Warehouse,,2727.5315960994176,1,15,UltraLuxury,PostTension,RC Frame,434,38.22,4910,1773,6001,409,109,26580000,18,2024
SA-R01081,Tabuk,Northern,Mall,,20907.938586312084,4,173,Good,SlipForm,RC Frame,18446,2232.29,150537,54361,183990,12545,3345,203120000,68.5,2023
SA-R01082,Tabuk,Northern,CommercialComplex,,5807.298140666577,6,31,UltraLuxury,AAC,RC Frame,6997,834.46,62719,22648,76656,5227,1394,332910000,33,2024
SA-R01083,Makkah,Western,University,,64989.66031406947,6,363,Standard,SlipForm,RC Frame,75940,8414.58,701888,253460,857864,58491,15598,730170000,89.5,2026
SA-R01084,Makkah,Western,DataCenter,,3774.6002518690366,4,23,Premium,Traditional,RC Frame,3770,495.88,27177,9814,33216,2265,604,63960000,27,2026
SA-R01085,Hail,Northern,Parking,,6885.462237492146,4,39,Raw,AAC,RC Frame,3907,345.16,49575,17902,60592,4131,1102,22710000,34,2020
SA-R01086,Abha,Southern,Warehouse,,5094.121939548551,1,61,Good,ICF,Steel Frame,793,66.5,9169,3311,11207,764,204,12730000,24,2025
SA-R01087,Hail,Northern,Residential_Tower,,37632.38648469109,26,326,UltraLuxury,Traditional,Core Wall,245280,31720.2,1761196,635987,2152573,146766,39138,9242120000,157.5,2022
SA-R01088,Makkah,Western,Luxury_Villa,469,1164.6815322253929,2,1,Premium,ICF,RC Frame,415,50.08,4193,1514,5125,349,93,9640000,15.5,2020
SA-R01089,Makkah,Western,Residential_Compound,,9093.36258452513,2,104,UltraLuxury,Traditional,RC Frame,3344,310.63,32736,11821,40011,2728,727,212520000,42.5,2026
SA-R01090,Abha,Southern,CommercialComplex,,28592.14593921206,4,201,Raw,SteelFrame,RC Frame,26006,2905.74,205863,74340,251611,17155,4575,91360000,57,2025
SA-R01091,Jeddah,Western,Office_Building,,17524.49136766396,13,109,UltraLuxury,Traditional,RC Frame,56861,6323.19,410073,148082,501200,34173,9113,2752840000,60,2023
SA-R01092,Abha,Southern,Warehouse,,8909.051604573786,1,94,Premium,SteelFrame,Steel Frame,1326,112.9,16036,5791,19600,1336,356,33250000,29,2021
SA-R01093,Riyadh,Central,Villa,152,299.63549132386777,3,1,Standard,PostTension,Load Bearing,152,17,1618,584,1978,135,36,1820000,9.5,2023
SA-R01094,Buraydah,Central,Residential_Tower,,8946.990884022107,36,52,Good,AAC,Flat Slab,88245,11592.3,579765,209360,708602,48314,12884,816370000,109.5,2020
SA-R01095,Khobar,Eastern,Factory,,39765.14844300901,3,342,Luxury,ICF,Precast,17247,1674.27,214732,77542,262450,17894,4772,769850000,75,2021
SA-R01096,Khamis Mushait,Southern,Factory,,22429.36345785734,3,131,UltraLuxury,PostTension,RC Frame,14339,1395.45,121119,43737,148034,10093,2692,629990000,60,2023
SA-R01097,Khamis Mushait,Southern,Villa,264,696.6262700327704,3,1,Luxury,Traditional,Load Bearing,391,43.55,3762,1358,4598,313,84,10900000,11.5,2025
SA-R01098,Khamis Mushait,Southern,Parking,,13945.871273987726,3,162,UltraLuxury,Traditional,RC Frame,8651,773.36,75308,27194,92043,6276,1674,379620000,46,2025
SA-R01099,Khobar,Eastern,Villa,342,648.6597611007626,2,1,Luxury,SlipForm,Steel Frame,280,30.92,2335,843,2854,195,52,8840000,10,2022
SA-R01100,Makkah,Western,Residential_Compound,,14496.351348311015,2,147,Luxury,SlipForm,RC Frame,5504,561.78,52187,18845,63784,4349,1160,180870000,51,2020
SA-R01101,Abha,Southern,Warehouse,,18610.554259020868,2,152,UltraLuxury,Precast,Precast,5160,438.95,66998,24194,81886,5583,1489,370850000,38.5,2025
SA-R01102,Makkah,Western,Warehouse,,4535.194871080699,1,28,UltraLuxury,SteelFrame,Steel Frame,851,75.41,8163,2948,9977,680,181,49240000,23,2024
SA-R01103,Riyadh,Central,Villa,146,309.5717242664543,3,1,Good,Precast,RC Frame,169,19.6,1672,604,2043,139,37,2820000,9.5,2022
SA-R01104,Tabuk,Northern,Luxury_Villa,932,2393.370366524574,4,1,Raw,SlipForm,RC Frame,1653,193.98,17232,6223,21062,1436,383,7440000,19,2025
SA-R01105,Taif,Western,Bridge,,,,,Luxury,Precast,RC Frame,,,,,,,,0,15.5,2022
SA-R01106,Dammam,Eastern,Government_Building,,23531.338255588045,7,258,Premium,SlipForm,RC Frame,34849,3699.34,296495,107068,362383,24708,6589,660380000,73.5,2022
SA-R01107,Khamis Mushait,Southern,Factory,,16899.59059948932,2,179,Premium,SteelFrame,Steel Frame,6328,583.04,60839,21969,74358,5070,1352,120100000,59.5,2024
SA-R01108,Najran,Southern,School,,5522.254875044656,1,30,UltraLuxury,AAC,RC Frame,1623,164.69,9940,3589,12149,828,221,50600000,27.5,2026
SA-R01109,Khobar,Eastern,Road,,,,,Standard,SlipForm,RC Frame,,,,,,,,0,16,2024
SA-R01110,Dammam,Eastern,Mosque,,1962.1265788580629,1,20,Premium,AAC,RC Frame,419,42.56,3532,1275,4317,294,78,8170000,17,2022
SA-R01111,Dammam,Eastern,Hotel,,19772.175658230633,36,197,UltraLuxury,SteelFrame,RC Frame,169711,20153.98,1281237,462669,1565956,106770,28472,7731820000,116.5,2026
SA-R01112,Khobar,Eastern,Residential_Tower,,30401.109796704688,16,270,Luxury,Precast,Core Wall,134919,17214.08,875552,316172,1070119,72963,19457,3164810000,125.5,2022
SA-R01113,Hail,Northern,School,,2024.7986272487185,2,17,Good,ICF,RC Frame,763,77.17,7289,2632,8909,607,162,10290000,19.5,2025
SA-R01114,Riyadh,Central,Mosque,,1874.9774464646869,3,10,UltraLuxury,PostTension,RC Frame,1089,106.44,10125,3656,12375,844,225,68880000,16.5,2024
SA-R01115,Tabuk,Northern,School,,8432.492507134522,1,44,Premium,SlipForm,RC Frame,1666,169.78,15178,5481,18551,1265,337,29500000,33,2020
SA-R01116,Taif,Western,Luxury_Villa,1580,2604.457424386641,3,1,Luxury,ICF,RC Frame,1865,224.88,14064,5079,17189,1172,313,45310000,20,2020
SA-R01117,Jeddah,Western,Townhouse_Project,,9466.62085160517,4,100,UltraLuxury,ICF,RC Frame,7241,798.78,68160,24613,83306,5680,1515,436700000,39.5,2021
SA-R01118,Jeddah,Western,Road,,,,,Premium,ICF,RC Frame,,,,,,,,0,14.5,2020
SA-R01119,Abha,Southern,Apartment_Building,,7045.949545052361,11,49,Luxury,ICF,Flat Slab,20356,2369.76,139510,50379,170512,11626,3100,446970000,45.5,2025
SA-R01120,Riyadh,Central,Bridge,,,,,Good,Traditional,RC Frame,,,,,,,,0,14,2025
SA-R01121,Jeddah,Western,Villa,278,469.48110259736427,3,1,Standard,PostTension,RC Frame,304,36.18,2535,915,3099,211,56,2730000,9.5,2024
SA-R01122,Abha,Southern,Residential_Tower,,16452.848494366655,20,134,Premium,PostTension,Shear Wall,91841,12566.53,592303,213887,723925,49359,13162,1192320000,105.5,2022
SA-R01123,Khamis Mushait,Southern,Bridge,,,,,UltraLuxury,ICF,RC Frame,,,,,,,,0,17,2026
SA-R01124,Abha,Southern,Residential_Tower,,30767.360979755565,45,183,Luxury,AAC,Flat Slab,367406,48224.83,2492156,899945,3045969,207680,55381,7749580000,157,2022
SA-R01125,Madinah,Western,School,,5712.0861705385305,4,64,Premium,AAC,RC Frame,3602,371.69,41127,14851,50266,3427,914,90490000,27,2026
SA-R01126,Riyadh,Central,Mall,,26543.62640004158,3,201,Luxury,AAC,RC Frame,16075,1999.65,143336,51760,175188,11945,3185,539520000,75,2022
SA-R01127,Dammam,Eastern,Bridge,,,,,Premium,PostTension,RC Frame,,,,,,,,0,15.5,2021
SA-R01128,Madinah,Western,Apartment_Building,,3415.6680178418346,7,19,Premium,ICF,Shear Wall,5499,614.81,43037,15541,52601,3586,956,91380000,28.5,2021
SA-R01129,Madinah,Western,School,,6060.923789085309,1,32,UltraLuxury,Precast,RC Frame,1806,185.5,10910,3940,13334,909,242,65240000,27,2023
SA-R01130,Dammam,Eastern,Luxury_Villa,857,2496.7624810379393,2,1,Good,SlipForm,RC Frame,1097,134.31,8988,3246,10986,749,200,13830000,19.5,2023
SA-R01131,Taif,Western,Warehouse,,18480.681691379712,2,213,Good,Precast,RC Frame,4366,371.67,66530,24025,81315,5544,1478,94030000,37,2025
SA-R01132,Makkah,Western,Mosque,,3848.1629441353607,1,42,Premium,PostTension,RC Frame,971,97.24,6927,2501,8466,577,154,16240000,21.5,2025
SA-R01133,Dammam,Eastern,Mosque,,1997.318029669792,3,11,Premium,AAC,RC Frame,1244,123.01,10786,3895,13182,899,240,23730000,19,2024
SA-R01134,Riyadh,Central,University,,35394.14891607387,4,248,UltraLuxury,SteelFrame,RC Frame,28523,3132.49,254838,92025,311469,21236,5663,1801680000,68.5,2022
SA-R01135,Makkah,Western,Office_Building,,8927.564145122415,12,110,UltraLuxury,SteelFrame,RC Frame,21737,2322.62,192835,69635,235688,16070,4285,1241190000,47.5,2020
SA-R01136,Riyadh,Central,Parking,,3849.916977624411,1,37,Standard,PostTension,RC Frame,778,69.74,6930,2502,8470,577,154,7650000,24.5,2023
SA-R01137,Khamis Mushait,Southern,Factory,,4361.954222211132,3,30,Premium,AAC,Precast,2278,202.61,23555,8506,28789,1963,523,45740000,32.5,2021
SA-R01138,Dammam,Eastern,University,,60557.457946262504,5,660,Good,SteelFrame,RC Frame,67543,7379.21,545017,196812,666132,45418,12111,825650000,76,2022
SA-R01139,Dammam,Eastern,DataCenter,,1399.5960801428503,2,8,Premium,SteelFrame,RC Frame,632,82.04,5039,1819,6158,420,112,12270000,18.5,2021
SA-R01140,Riyadh,Central,Residential_Compound,,12310.48428497613,3,125,UltraLuxury,PostTension,RC Frame,6746,688.52,66477,24005,81249,5540,1477,437020000,55,2020
SA-R01141,Makkah,Western,Residential_Compound,,17046.339095902586,1,105,Premium,Precast,RC Frame,2940,283.56,30683,11080,37502,2557,682,70900000,57.5,2023
SA-R01142,Riyadh,Central,Parking,,8536.986889047646,1,52,Raw,SlipForm,RC Frame,1714,154.14,15367,5549,18781,1281,341,8510000,33.5,2026
SA-R01143,Hail,Northern,Villa,190,407.56260987332575,1,1,Raw,PostTension,Steel Frame,109,12.67,734,265,897,61,16,330000,9,2020
SA-R01144,Makkah,Western,Road,,,,,Premium,Traditional,RC Frame,,,,,,,,0,17,2021
SA-R01145,Najran,Southern,School,,9932.21676418968,3,120,Raw,Precast,RC Frame,6456,709.41,53634,19368,65553,4469,1192,24040000,35.5,2024
SA-R01146,Buraydah,Central,Villa,760,1115.88252891158,1,1,Standard,SteelFrame,RC Frame,310,33.9,2009,725,2455,167,45,1940000,11,2025
SA-R01147,Madinah,Western,Villa,150,270.06307921695617,3,1,Premium,ICF,RC Frame,150,16.95,1458,527,1782,122,32,3220000,9,2022
SA-R01148,Madinah,Western,Mall,,5849.080887977378,5,56,Good,Precast,RC Frame,6505,742.74,52642,19010,64340,4387,1170,82900000,40,2022
