raw_description,project_type,city,area_m2,floors,finishing_level,confidence,source
Development of a Hospital in Hail with a total area of 8417 square meters across 24 floors.,Hospital,Hail,8463,24,Standard,64,synthetic
"Project: Factory in Abha, built-up area 19369 sqm, 8 floors. Quality finishing required.",Factory,Abha,18625,8,UltraLuxury,69,synthetic
"Project: Mall in Jeddah, built-up area 10423 sqm, 20 floors. Quality finishing required.",Mall,Jeddah,10021,21,UltraLuxury,86,synthetic
Development of a CommercialComplex in Khamis Mushait with a total area of 15330 square meters across 23 floors.,CommercialComplex,Khamis Mushait,15077,23,Standard,71,synthetic
"Project: Mall in Jeddah, built-up area 14545 sqm, 20 floors. Quality finishing required.",Mall,Jeddah,14815,20,Good,84,synthetic
مشروع University في Makkah بمساحة 9892 م² وعدد 23 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Makkah,10068,24,Good,97,synthetic
"Project: School in Abha, built-up area 15510 sqm, 23 floors. Quality finishing required.",School,Abha,15607,23,UltraLuxury,61,synthetic
Villa Khobar على أرض مساحتها 39186 م²، مساحة البناء 13694 م²، 7 أدوار.,Villa,Khobar,13888,7,Premium,73,synthetic
"Project: Townhouse_Project in Najran, built-up area 15886 sqm, 17 floors. Quality finishing required.",Townhouse_Project,Najran,15662,18,UltraLuxury,73,synthetic
Villa Hail على أرض مساحتها 13593 م²، مساحة البناء 4157 م²، 22 أدوار.,Villa,Hail,4071,22,Standard,88,synthetic
Factory Tabuk على أرض مساحتها 53863 م²، مساحة البناء 17142 م²، 27 أدوار.,Factory,Tabuk,17409,27,Luxury,81,synthetic
Townhouse_Project Dammam على أرض مساحتها 1191 م²، مساحة البناء 794 م²، 21 أدوار.,Townhouse_Project,Dammam,831,21,Premium,96,synthetic
Development of a Warehouse in Riyadh with a total area of 5398 square meters across 9 floors.,Warehouse,Riyadh,5389,9,Raw,77,synthetic
مشروع Hotel في Tabuk بمساحة 4017 م² وعدد 17 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hotel,Tabuk,4079,17,UltraLuxury,78,synthetic
"Project: Luxury_Villa in Buraydah, built-up area 8416 sqm, 6 floors. Quality finishing required.",Luxury_Villa,Buraydah,8058,6,Luxury,87,synthetic
مشروع Road في Khobar بمساحة 14755 م² وعدد 22 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Road,Khobar,15078,22,UltraLuxury,60,synthetic
Development of a DataCenter in Najran with a total area of 11314 square meters across 4 floors.,DataCenter,Najran,10972,4,Raw,71,synthetic
"Project: Mall in Hail, built-up area 5982 sqm, 10 floors. Quality finishing required.",Mall,Hail,6226,9,Standard,86,synthetic
مشروع Parking في Makkah بمساحة 9765 م² وعدد 28 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Parking,Makkah,9815,29,Luxury,89,synthetic
"Project: Office_Building in Najran, built-up area 1107 sqm, 30 floors. Quality finishing required.",Office_Building,Najran,1146,29,Good,79,synthetic
إنشاء Bridge في مدينة Jeddah بمساحة إجمالية 15739 متر مربع مكون من 17 طوابق.,Bridge,Jeddah,15324,17,Premium,60,synthetic
Villa Khobar على أرض مساحتها 28724 م²، مساحة البناء 12933 م²، 13 أدوار.,Villa,Khobar,12707,13,Raw,94,synthetic
Apartment_Building Riyadh على أرض مساحتها 36539 م²، مساحة البناء 18291 م²، 10 أدوار.,Apartment_Building,Riyadh,18590,10,Standard,81,synthetic
Residential_Tower Abha على أرض مساحتها 25479 م²، مساحة البناء 10795 م²، 27 أدوار.,Residential_Tower,Abha,10658,27,Standard,62,synthetic
"Project: University in Tabuk, built-up area 7229 sqm, 27 floors. Quality finishing required.",University,Tabuk,7224,28,Luxury,67,synthetic
إنشاء Road في مدينة Riyadh بمساحة إجمالية 13183 متر مربع مكون من 6 طوابق.,Road,Riyadh,13191,6,Premium,83,synthetic
Townhouse_Project Makkah على أرض مساحتها 16573 م²، مساحة البناء 8209 م²، 15 أدوار.,Townhouse_Project,Makkah,8668,15,Luxury,72,synthetic
Development of a University in Jeddah with a total area of 17276 square meters across 4 floors.,University,Jeddah,18185,4,Premium,92,synthetic
Factory Tabuk على أرض مساحتها 513 م²، مساحة البناء 350 م²، 11 أدوار.,Factory,Tabuk,364,11,Standard,64,synthetic
Development of a Factory in Jeddah with a total area of 14149 square meters across 19 floors.,Factory,Jeddah,14498,19,Raw,94,synthetic
Warehouse Riyadh على أرض مساحتها 31416 م²، مساحة البناء 11259 م²، 7 أدوار.,Warehouse,Riyadh,11319,7,Premium,88,synthetic
Development of a Factory in Dammam with a total area of 19930 square meters across 29 floors.,Factory,Dammam,19571,29,Raw,98,synthetic
Hotel Taif على أرض مساحتها 17361 م²، مساحة البناء 6136 م²، 21 أدوار.,Hotel,Taif,6077,22,Premium,80,synthetic
Apartment_Building Dammam على أرض مساحتها 5148 م²، مساحة البناء 3157 م²، 6 أدوار.,Apartment_Building,Dammam,3152,6,Raw,73,synthetic
"Project: Hotel in Buraydah, built-up area 19448 sqm, 14 floors. Quality finishing required.",Hotel,Buraydah,20389,14,Good,66,synthetic
إنشاء Hotel في مدينة Taif بمساحة إجمالية 8488 متر مربع مكون من 29 طوابق.,Hotel,Taif,8275,28,Premium,87,synthetic
Factory Jeddah على أرض مساحتها 45028 م²، مساحة البناء 19718 م²، 1 أدوار.,Factory,Jeddah,19214,1,Premium,93,synthetic
"Project: Road in Khobar, built-up area 7288 sqm, 9 floors. Quality finishing required.",Road,Khobar,7302,9,Premium,65,synthetic
Hospital Abha على أرض مساحتها 48113 م²، مساحة البناء 19086 م²، 18 أدوار.,Hospital,Abha,17976,18,Luxury,95,synthetic
مشروع CommercialComplex في Jeddah بمساحة 8852 م² وعدد 12 أدوار. يشمل المبنى تشطيبات عالية الجودة.,CommercialComplex,Jeddah,8623,12,Raw,77,synthetic
إنشاء Mosque في مدينة Tabuk بمساحة إجمالية 17307 متر مربع مكون من 30 طوابق.,Mosque,Tabuk,18678,31,Luxury,75,synthetic
"Project: Residential_Tower in Dammam, built-up area 3657 sqm, 6 floors. Quality finishing required.",Residential_Tower,Dammam,3546,6,Premium,86,synthetic
"Project: Warehouse in Dammam, built-up area 9763 sqm, 6 floors. Quality finishing required.",Warehouse,Dammam,10154,6,Standard,86,synthetic
Government_Building Buraydah على أرض مساحتها 25458 م²، مساحة البناء 13033 م²، 14 أدوار.,Government_Building,Buraydah,13549,14,Premium,70,synthetic
Development of a Townhouse_Project in Khamis Mushait with a total area of 11862 square meters across 13 floors.,Townhouse_Project,Khamis Mushait,11624,13,Standard,65,synthetic
"Project: DataCenter in Buraydah, built-up area 5171 sqm, 10 floors. Quality finishing required.",DataCenter,Buraydah,5264,10,Premium,77,synthetic
Apartment_Building Abha على أرض مساحتها 34876 م²، مساحة البناء 18980 م²، 11 أدوار.,Apartment_Building,Abha,19155,11,Standard,62,synthetic
"Project: Parking in Makkah, built-up area 11340 sqm, 12 floors. Quality finishing required.",Parking,Makkah,11520,12,UltraLuxury,68,synthetic
"Project: Residential_Compound in Abha, built-up area 7287 sqm, 16 floors. Quality finishing required.",Residential_Compound,Abha,7477,15,Luxury,72,synthetic
"Project: Bridge in Taif, built-up area 12967 sqm, 21 floors. Quality finishing required.",Bridge,Taif,13590,20,UltraLuxury,84,synthetic
Warehouse Madinah على أرض مساحتها 34402 م²، مساحة البناء 13476 م²، 16 أدوار.,Warehouse,Madinah,13617,17,Luxury,66,synthetic
مشروع Office_Building في Jeddah بمساحة 7796 م² وعدد 18 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Jeddah,7851,18,Raw,67,synthetic
Hotel Khamis Mushait على أرض مساحتها 33773 م²، مساحة البناء 18649 م²، 3 أدوار.,Hotel,Khamis Mushait,17984,3,Premium,93,synthetic
مشروع Road في Buraydah بمساحة 16513 م² وعدد 1 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Road,Buraydah,17171,1,Premium,69,synthetic
إنشاء Warehouse في مدينة Taif بمساحة إجمالية 13779 متر مربع مكون من 13 طوابق.,Warehouse,Taif,13910,14,Luxury,88,synthetic
Development of a Villa in Madinah with a total area of 5487 square meters across 26 floors.,Villa,Madinah,5465,27,Standard,96,synthetic
"Project: Residential_Compound in Makkah, built-up area 19877 sqm, 7 floors. Quality finishing required.",Residential_Compound,Makkah,19673,7,Luxury,60,synthetic
"Project: Mosque in Madinah, built-up area 19741 sqm, 12 floors. Quality finishing required.",Mosque,Madinah,19865,12,Good,74,synthetic
إنشاء Government_Building في مدينة Najran بمساحة إجمالية 11820 متر مربع مكون من 12 طوابق.,Government_Building,Najran,11685,11,Standard,75,synthetic
مشروع University في Jeddah بمساحة 10942 م² وعدد 22 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Jeddah,11031,22,Good,90,synthetic
Warehouse Abha على أرض مساحتها 11532 م²، مساحة البناء 4844 م²، 7 أدوار.,Warehouse,Abha,4775,7,UltraLuxury,70,synthetic
Parking Riyadh على أرض مساحتها 10975 م²، مساحة البناء 5864 م²، 4 أدوار.,Parking,Riyadh,6144,4,Good,97,synthetic
"Project: Hotel in Jeddah, built-up area 2927 sqm, 15 floors. Quality finishing required.",Hotel,Jeddah,2765,15,Premium,92,synthetic
مشروع Residential_Compound في Dammam بمساحة 12399 م² وعدد 20 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Residential_Compound,Dammam,12230,21,Luxury,67,synthetic
"Project: University in Najran, built-up area 10186 sqm, 20 floors. Quality finishing required.",University,Najran,9959,20,Raw,84,synthetic
School Riyadh على أرض مساحتها 20423 م²، مساحة البناء 13038 م²، 29 أدوار.,School,Riyadh,12291,27,Luxury,88,synthetic
Development of a Hotel in Tabuk with a total area of 589 square meters across 5 floors.,Hotel,Tabuk,602,5,Luxury,90,synthetic
"Project: Hospital in Dammam, built-up area 10553 sqm, 18 floors. Quality finishing required.",Hospital,Dammam,10802,18,Raw,86,synthetic
Hotel Buraydah على أرض مساحتها 17354 م²، مساحة البناء 6691 م²، 20 أدوار.,Hotel,Buraydah,6598,19,UltraLuxury,92,synthetic
Apartment_Building Jeddah على أرض مساحتها 30864 م²، مساحة البناء 13571 م²، 1 أدوار.,Apartment_Building,Jeddah,13923,1,Luxury,79,synthetic
مشروع Hotel في Khobar بمساحة 9668 م² وعدد 11 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hotel,Khobar,9325,11,Luxury,69,synthetic
Development of a CommercialComplex in Makkah with a total area of 426 square meters across 28 floors.,CommercialComplex,Makkah,425,27,Premium,88,synthetic
"Project: Parking in Abha, built-up area 11129 sqm, 16 floors. Quality finishing required.",Parking,Abha,10519,16,Raw,73,synthetic
إنشاء Residential_Tower في مدينة Khamis Mushait بمساحة إجمالية 15256 متر مربع مكون من 13 طوابق.,Residential_Tower,Khamis Mushait,15318,13,Luxury,77,synthetic
إنشاء Residential_Compound في مدينة Khamis Mushait بمساحة إجمالية 8960 متر مربع مكون من 30 طوابق.,Residential_Compound,Khamis Mushait,9107,31,UltraLuxury,73,synthetic
Development of a Villa in Dammam with a total area of 8694 square meters across 20 floors.,Villa,Dammam,8712,20,Raw,60,synthetic
University Abha على أرض مساحتها 12248 م²، مساحة البناء 4724 م²، 21 أدوار.,University,Abha,4719,21,Good,88,synthetic
"Project: Factory in Abha, built-up area 9016 sqm, 25 floors. Quality finishing required.",Factory,Abha,9002,27,UltraLuxury,93,synthetic
Factory Riyadh على أرض مساحتها 25384 م²، مساحة البناء 16575 م²، 26 أدوار.,Factory,Riyadh,15723,27,Raw,80,synthetic
مشروع Villa في Dammam بمساحة 4552 م² وعدد 27 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Villa,Dammam,4426,28,Good,70,synthetic
Development of a Government_Building in Khobar with a total area of 6101 square meters across 18 floors.,Government_Building,Khobar,6341,18,Standard,79,synthetic
Luxury_Villa Dammam على أرض مساحتها 20365 م²، مساحة البناء 7216 م²، 21 أدوار.,Luxury_Villa,Dammam,7135,21,Luxury,60,synthetic
"Project: Hospital in Khamis Mushait, built-up area 15479 sqm, 27 floors. Quality finishing required.",Hospital,Khamis Mushait,14642,26,Good,83,synthetic
إنشاء Road في مدينة Jeddah بمساحة إجمالية 1696 متر مربع مكون من 26 طوابق.,Road,Jeddah,1662,27,UltraLuxury,76,synthetic
Villa Tabuk على أرض مساحتها 25950 م²، مساحة البناء 17458 م²، 17 أدوار.,Villa,Tabuk,17823,16,Good,74,synthetic
Development of a Bridge in Taif with a total area of 13363 square meters across 14 floors.,Bridge,Taif,13529,14,UltraLuxury,85,synthetic
Development of a Residential_Compound in Taif with a total area of 13369 square meters across 17 floors.,Residential_Compound,Taif,13562,18,UltraLuxury,77,synthetic
مشروع DataCenter في Najran بمساحة 3333 م² وعدد 24 أدوار. يشمل المبنى تشطيبات عالية الجودة.,DataCenter,Najran,3510,22,Luxury,77,synthetic
Development of a Government_Building in Riyadh with a total area of 2793 square meters across 9 floors.,Government_Building,Riyadh,2708,9,Premium,88,synthetic
مشروع Residential_Tower في Taif بمساحة 9706 م² وعدد 22 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Residential_Tower,Taif,10307,21,UltraLuxury,93,synthetic
"Project: Parking in Dammam, built-up area 5414 sqm, 5 floors. Quality finishing required.",Parking,Dammam,5081,5,Standard,63,synthetic
إنشاء CommercialComplex في مدينة Riyadh بمساحة إجمالية 19982 متر مربع مكون من 23 طوابق.,CommercialComplex,Riyadh,20270,21,Good,83,synthetic
إنشاء Apartment_Building في مدينة Abha بمساحة إجمالية 12725 متر مربع مكون من 9 طوابق.,Apartment_Building,Abha,13004,9,Standard,67,synthetic
"Project: Hotel in Dammam, built-up area 3948 sqm, 10 floors. Quality finishing required.",Hotel,Dammam,3776,10,Raw,84,synthetic
Development of a Factory in Khobar with a total area of 17068 square meters across 13 floors.,Factory,Khobar,16691,13,Raw,84,synthetic
Apartment_Building Jeddah على أرض مساحتها 22018 م²، مساحة البناء 15374 م²، 3 أدوار.,Apartment_Building,Jeddah,16210,3,UltraLuxury,60,synthetic
"Project: Bridge in Riyadh, built-up area 2484 sqm, 11 floors. Quality finishing required.",Bridge,Riyadh,2481,12,Raw,87,synthetic
Development of a Hotel in Riyadh with a total area of 2300 square meters across 7 floors.,Hotel,Riyadh,2313,7,Good,78,synthetic
Development of a Office_Building in Abha with a total area of 13896 square meters across 21 floors.,Office_Building,Abha,14155,21,Premium,82,synthetic
إنشاء Government_Building في مدينة Hail بمساحة إجمالية 15571 متر مربع مكون من 17 طوابق.,Government_Building,Hail,15926,17,Standard,80,synthetic
"Project: Road in Buraydah, built-up area 651 sqm, 25 floors. Quality finishing required.",Road,Buraydah,676,24,Luxury,61,synthetic
مشروع Warehouse في Madinah بمساحة 4768 م² وعدد 18 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Warehouse,Madinah,4750,19,Good,72,synthetic
CommercialComplex Dammam على أرض مساحتها 25923 م²، مساحة البناء 16242 م²، 1 أدوار.,CommercialComplex,Dammam,15650,1,Standard,67,synthetic
"Project: Road in Hail, built-up area 10303 sqm, 28 floors. Quality finishing required.",Road,Hail,10202,28,UltraLuxury,87,synthetic
إنشاء CommercialComplex في مدينة Taif بمساحة إجمالية 5861 متر مربع مكون من 1 طوابق.,CommercialComplex,Taif,5835,1,Luxury,63,synthetic
"Project: Government_Building in Makkah, built-up area 13653 sqm, 23 floors. Quality finishing required.",Government_Building,Makkah,13622,22,Standard,97,synthetic
إنشاء Warehouse في مدينة Tabuk بمساحة إجمالية 18260 متر مربع مكون من 10 طوابق.,Warehouse,Tabuk,17954,10,UltraLuxury,94,synthetic
Development of a Hospital in Hail with a total area of 8399 square meters across 8 floors.,Hospital,Hail,8603,8,Premium,73,synthetic
إنشاء Apartment_Building في مدينة Abha بمساحة إجمالية 19487 متر مربع مكون من 23 طوابق.,Apartment_Building,Abha,19138,22,UltraLuxury,75,synthetic
إنشاء Mall في مدينة Taif بمساحة إجمالية 5391 متر مربع مكون من 20 طوابق.,Mall,Taif,5804,21,Good,67,synthetic
مشروع Mall في Jeddah بمساحة 10028 م² وعدد 2 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mall,Jeddah,9398,2,Good,96,synthetic
"Project: Residential_Compound in Khobar, built-up area 6993 sqm, 15 floors. Quality finishing required.",Residential_Compound,Khobar,7420,15,Luxury,96,synthetic
إنشاء Apartment_Building في مدينة Makkah بمساحة إجمالية 16404 متر مربع مكون من 6 طوابق.,Apartment_Building,Makkah,17258,6,Luxury,92,synthetic
"Project: Residential_Compound in Khobar, built-up area 16905 sqm, 16 floors. Quality finishing required.",Residential_Compound,Khobar,16930,17,Luxury,78,synthetic
إنشاء Mall في مدينة Makkah بمساحة إجمالية 1877 متر مربع مكون من 23 طوابق.,Mall,Makkah,1902,23,Good,73,synthetic
Mosque Jeddah على أرض مساحتها 30680 م²، مساحة البناء 17578 م²، 23 أدوار.,Mosque,Jeddah,17989,24,Standard,88,synthetic
مشروع Road في Dammam بمساحة 14478 م² وعدد 24 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Road,Dammam,14038,24,Luxury,70,synthetic
Residential_Compound Riyadh على أرض مساحتها 46999 م²، مساحة البناء 15047 م²، 15 أدوار.,Residential_Compound,Riyadh,15190,15,Good,86,synthetic
مشروع Hotel في Buraydah بمساحة 7242 م² وعدد 23 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hotel,Buraydah,7325,23,Raw,70,synthetic
Development of a Road in Dammam with a total area of 2122 square meters across 17 floors.,Road,Dammam,2199,16,Luxury,82,synthetic
"Project: Hotel in Hail, built-up area 15278 sqm, 2 floors. Quality finishing required.",Hotel,Hail,15340,2,Raw,79,synthetic
"Project: University in Abha, built-up area 13734 sqm, 16 floors. Quality finishing required.",University,Abha,14106,16,UltraLuxury,96,synthetic
إنشاء Road في مدينة Madinah بمساحة إجمالية 19344 متر مربع مكون من 4 طوابق.,Road,Madinah,20513,4,Premium,75,synthetic
مشروع CommercialComplex في Khobar بمساحة 6627 م² وعدد 8 أدوار. يشمل المبنى تشطيبات عالية الجودة.,CommercialComplex,Khobar,6640,8,Luxury,80,synthetic
Townhouse_Project Makkah على أرض مساحتها 18108 م²، مساحة البناء 10495 م²، 1 أدوار.,Townhouse_Project,Makkah,10508,1,Standard,69,synthetic
مشروع University في Abha بمساحة 9744 م² وعدد 2 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Abha,10168,2,UltraLuxury,94,synthetic
مشروع Luxury_Villa في Riyadh بمساحة 6651 م² وعدد 27 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Luxury_Villa,Riyadh,6699,26,Luxury,67,synthetic
"Project: DataCenter in Khobar, built-up area 8161 sqm, 11 floors. Quality finishing required.",DataCenter,Khobar,7925,12,Good,89,synthetic
مشروع Mosque في Najran بمساحة 18932 م² وعدد 29 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mosque,Najran,18771,29,Premium,78,synthetic
مشروع Office_Building في Tabuk بمساحة 13276 م² وعدد 30 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Tabuk,13433,30,Premium,91,synthetic
مشروع Residential_Tower في Dammam بمساحة 18015 م² وعدد 2 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Residential_Tower,Dammam,18194,2,Standard,95,synthetic
إنشاء Hospital في مدينة Najran بمساحة إجمالية 16405 متر مربع مكون من 11 طوابق.,Hospital,Najran,17016,11,Raw,74,synthetic
مشروع University في Khamis Mushait بمساحة 5722 م² وعدد 11 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Khamis Mushait,5753,11,Good,77,synthetic
University Khamis Mushait على أرض مساحتها 27079 م²، مساحة البناء 18774 م²، 28 أدوار.,University,Khamis Mushait,18959,28,Raw,63,synthetic
"Project: University in Najran, built-up area 16842 sqm, 21 floors. Quality finishing required.",University,Najran,17344,21,UltraLuxury,73,synthetic
Development of a Office_Building in Taif with a total area of 13776 square meters across 11 floors.,Office_Building,Taif,13298,11,UltraLuxury,67,synthetic
إنشاء University في مدينة Khamis Mushait بمساحة إجمالية 14989 متر مربع مكون من 11 طوابق.,University,Khamis Mushait,14831,11,Luxury,97,synthetic
"Project: Mall in Madinah, built-up area 3556 sqm, 4 floors. Quality finishing required.",Mall,Madinah,3603,4,UltraLuxury,63,synthetic
Development of a CommercialComplex in Dammam with a total area of 8379 square meters across 1 floors.,CommercialComplex,Dammam,8334,1,Good,66,synthetic
Mall Madinah على أرض مساحتها 18315 م²، مساحة البناء 12590 م²، 14 أدوار.,Mall,Madinah,12332,14,Premium,97,synthetic
"Project: Factory in Tabuk, built-up area 10813 sqm, 18 floors. Quality finishing required.",Factory,Tabuk,10659,19,Good,92,synthetic
إنشاء Hotel في مدينة Khamis Mushait بمساحة إجمالية 14198 متر مربع مكون من 20 طوابق.,Hotel,Khamis Mushait,14468,19,Standard,76,synthetic
مشروع University في Jeddah بمساحة 12484 م² وعدد 18 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Jeddah,12614,18,Standard,69,synthetic
مشروع Villa في Dammam بمساحة 16464 م² وعدد 24 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Villa,Dammam,17052,25,Standard,65,synthetic
Development of a Apartment_Building in Tabuk with a total area of 13130 square meters across 20 floors.,Apartment_Building,Tabuk,12749,20,UltraLuxury,80,synthetic
إنشاء Road في مدينة Khobar بمساحة إجمالية 11076 متر مربع مكون من 17 طوابق.,Road,Khobar,11004,16,Luxury,81,synthetic
مشروع Hotel في Jeddah بمساحة 9887 م² وعدد 6 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hotel,Jeddah,9752,6,Raw,78,synthetic
مشروع Villa في Jeddah بمساحة 13276 م² وعدد 13 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Villa,Jeddah,12891,13,UltraLuxury,82,synthetic
"Project: Townhouse_Project in Taif, built-up area 6716 sqm, 2 floors. Quality finishing required.",Townhouse_Project,Taif,6665,2,Luxury,67,synthetic
Development of a Bridge in Khobar with a total area of 13449 square meters across 26 floors.,Bridge,Khobar,13719,24,UltraLuxury,96,synthetic
Bridge Najran على أرض مساحتها 8541 م²، مساحة البناء 4648 م²، 4 أدوار.,Bridge,Najran,4414,4,Standard,71,synthetic
Development of a DataCenter in Khobar with a total area of 8715 square meters across 28 floors.,DataCenter,Khobar,8161,28,UltraLuxury,98,synthetic
إنشاء DataCenter في مدينة Jeddah بمساحة إجمالية 11743 متر مربع مكون من 20 طوابق.,DataCenter,Jeddah,12684,20,Luxury,71,synthetic
Development of a Villa in Makkah with a total area of 5308 square meters across 2 floors.,Villa,Makkah,5295,2,Good,62,synthetic
إنشاء Hospital في مدينة Dammam بمساحة إجمالية 16343 متر مربع مكون من 15 طوابق.,Hospital,Dammam,15684,15,Raw,70,synthetic
مشروع Factory في Madinah بمساحة 3795 م² وعدد 1 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Factory,Madinah,3855,1,UltraLuxury,70,synthetic
Hotel Taif على أرض مساحتها 21318 م²، مساحة البناء 14442 م²، 5 أدوار.,Hotel,Taif,13523,5,Raw,62,synthetic
إنشاء University في مدينة Taif بمساحة إجمالية 18729 متر مربع مكون من 26 طوابق.,University,Taif,18922,27,Good,60,synthetic
Factory Dammam على أرض مساحتها 31363 م²، مساحة البناء 11373 م²، 4 أدوار.,Factory,Dammam,11740,4,Raw,98,synthetic
Development of a Road in Hail with a total area of 14881 square meters across 10 floors.,Road,Hail,15034,10,Raw,74,synthetic
مشروع Luxury_Villa في Madinah بمساحة 4806 م² وعدد 9 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Luxury_Villa,Madinah,4669,9,Luxury,75,synthetic
مشروع Villa في Najran بمساحة 6143 م² وعدد 3 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Villa,Najran,5962,3,Raw,62,synthetic
Development of a Apartment_Building in Buraydah with a total area of 2217 square meters across 26 floors.,Apartment_Building,Buraydah,2282,27,Standard,78,synthetic
مشروع Factory في Tabuk بمساحة 6776 م² وعدد 17 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Factory,Tabuk,6652,16,Raw,80,synthetic
مشروع Parking في Khamis Mushait بمساحة 14861 م² وعدد 15 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Parking,Khamis Mushait,14990,15,Good,82,synthetic
إنشاء CommercialComplex في مدينة Abha بمساحة إجمالية 17890 متر مربع مكون من 3 طوابق.,CommercialComplex,Abha,17984,3,Premium,61,synthetic
"Project: Factory in Khobar, built-up area 12217 sqm, 15 floors. Quality finishing required.",Factory,Khobar,12295,15,Premium,84,synthetic
Office_Building Jeddah على أرض مساحتها 17628 م²، مساحة البناء 6257 م²، 15 أدوار.,Office_Building,Jeddah,6334,15,Standard,93,synthetic
University Jeddah على أرض مساحتها 1269 م²، مساحة البناء 544 م²، 10 أدوار.,University,Jeddah,537,10,UltraLuxury,89,synthetic
Development of a Apartment_Building in Khobar with a total area of 1195 square meters across 11 floors.,Apartment_Building,Khobar,1217,11,Raw,81,synthetic
Development of a DataCenter in Najran with a total area of 10954 square meters across 20 floors.,DataCenter,Najran,10968,21,UltraLuxury,83,synthetic
Development of a Mall in Abha with a total area of 13701 square meters across 4 floors.,Mall,Abha,14416,4,Premium,74,synthetic
"Project: Hospital in Khamis Mushait, built-up area 7300 sqm, 6 floors. Quality finishing required.",Hospital,Khamis Mushait,7537,6,Premium,88,synthetic
إنشاء Road في مدينة Tabuk بمساحة إجمالية 3397 متر مربع مكون من 4 طوابق.,Road,Tabuk,3406,4,UltraLuxury,66,synthetic
"Project: Residential_Tower in Tabuk, built-up area 2818 sqm, 20 floors. Quality finishing required.",Residential_Tower,Tabuk,2857,20,Raw,72,synthetic
"Project: School in Taif, built-up area 3361 sqm, 10 floors. Quality finishing required.",School,Taif,3430,11,Luxury,72,synthetic
مشروع Bridge في Najran بمساحة 4506 م² وعدد 18 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Bridge,Najran,4574,18,Premium,80,synthetic
"Project: Warehouse in Buraydah, built-up area 13109 sqm, 1 floors. Quality finishing required.",Warehouse,Buraydah,13009,1,Luxury,89,synthetic
إنشاء Luxury_Villa في مدينة Tabuk بمساحة إجمالية 7111 متر مربع مكون من 28 طوابق.,Luxury_Villa,Tabuk,7145,26,UltraLuxury,60,synthetic
إنشاء School في مدينة Taif بمساحة إجمالية 18837 متر مربع مكون من 17 طوابق.,School,Taif,18574,17,Good,89,synthetic
Residential_Compound Buraydah على أرض مساحتها 22171 م²، مساحة البناء 10639 م²، 4 أدوار.,Residential_Compound,Buraydah,10006,4,Premium,76,synthetic
Development of a Road in Riyadh with a total area of 12760 square meters across 15 floors.,Road,Riyadh,13139,15,Premium,94,synthetic
مشروع Apartment_Building في Makkah بمساحة 8912 م² وعدد 24 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Apartment_Building,Makkah,9208,23,UltraLuxury,79,synthetic
"Project: Hospital in Najran, built-up area 14260 sqm, 9 floors. Quality finishing required.",Hospital,Najran,14348,9,Standard,85,synthetic
"Project: Hospital in Najran, built-up area 3504 sqm, 16 floors. Quality finishing required.",Hospital,Najran,3906,16,Good,94,synthetic
Government_Building Madinah على أرض مساحتها 24053 م²، مساحة البناء 7223 م²، 3 أدوار.,Government_Building,Madinah,7683,3,Raw,95,synthetic
إنشاء Hospital في مدينة Abha بمساحة إجمالية 4128 متر مربع مكون من 6 طوابق.,Hospital,Abha,4088,6,Luxury,74,synthetic
"Project: Luxury_Villa in Dammam, built-up area 2376 sqm, 1 floors. Quality finishing required.",Luxury_Villa,Dammam,2383,1,Luxury,83,synthetic
DataCenter Dammam على أرض مساحتها 28821 م²، مساحة البناء 18599 م²، 3 أدوار.,DataCenter,Dammam,18440,3,UltraLuxury,60,synthetic
