project_id,risk_category,description,probability,impact,mitigation,detected_by_ai
SA-R02063,Financial,Cement price increase,3,5,Fixed price contracts,false
SA-R02063,Schedule,Subcontractor availability,1,5,Accelerated procurement plan,false
SA-R02064,Structural,Foundation settlement risk,3,1,Design review and structural analysis,true
SA-R02064,Safety,Fire hazard from hot work,5,4,Enhanced safety training,true
SA-R02064,Quality,Curing duration not met,1,4,Additional testing regime,false
SA-R02064,Material,Steel corrosion risk,4,4,Alternative supplier sourcing,false
SA-R02065,Structural,Crack propagation in shear walls,2,1,Design review and structural analysis,false
SA-R02065,Material,Cement setting time abnormal,4,4,Alternative supplier sourcing,false
SA-R02065,Quality,Curing duration not met,3,2,Additional testing regime,true
SA-R02065,Safety,Heavy lifting accident potential,5,1,Enhanced safety training,false
SA-R02065,Schedule,Weather delay potential,3,4,Accelerated procurement plan,false
SA-R02065,Financial,Steel price volatility,3,1,Fixed price contracts,true
SA-R02066,Quality,Testing failure rate high,3,4,Additional testing regime,false
SA-R02066,Financial,Cement price increase,5,5,Fixed price contracts,false
SA-R02066,Schedule,Subcontractor availability,1,3,Accelerated procurement plan,true
SA-R02066,Material,Cement setting time abnormal,1,1,Alternative supplier sourcing,true
SA-R02067,Material,Concrete strength below spec,4,4,Alternative supplier sourcing,false
SA-R02067,Safety,Fire hazard from hot work,4,2,Enhanced safety training,false
SA-R02067,Financial,Currency fluctuation risk,5,3,Fixed price contracts,false
SA-R02068,Structural,Column failure potential,4,4,Design review and structural analysis,false
SA-R02068,Material,Cement setting time abnormal,2,2,Alternative supplier sourcing,false
SA-R02068,Schedule,Material procurement delay,4,1,Accelerated procurement plan,false
SA-R02068,Safety,Electrical shock risk,5,4,Enhanced safety training,true
SA-R02068,Financial,Labor shortage cost impact,2,1,Fixed price contracts,true
SA-R02068,Quality,Testing failure rate high,2,1,Additional testing regime,true
SA-R02069,Financial,Labor shortage cost impact,2,4,Fixed price contracts,false
SA-R02069,Schedule,Weather delay potential,5,1,Accelerated procurement plan,false
SA-R02069,Material,Concrete strength below spec,1,3,Alternative supplier sourcing,false
SA-R02069,Quality,Tolerance deviation,2,4,Additional testing regime,true
SA-R02069,Safety,Working at height risk,2,4,Enhanced safety training,false
SA-R02069,Structural,Crack propagation in shear walls,5,1,Design review and structural analysis,false
SA-R02070,Structural,Crack propagation in shear walls,2,5,Design review and structural analysis,false
SA-R02070,Material,Concrete strength below spec,1,1,Alternative supplier sourcing,true
SA-R02070,Safety,Confined space hazard,3,1,Enhanced safety training,false
SA-R02070,Financial,Currency fluctuation risk,1,3,Fixed price contracts,false
SA-R02071,Material,Concrete strength below spec,1,3,Alternative supplier sourcing,false
SA-R02071,Quality,Testing failure rate high,5,4,Additional testing regime,false
SA-R02071,Schedule,Permit approval delay,2,1,Accelerated procurement plan,false
SA-R02072,Structural,Foundation settlement risk,1,5,Design review and structural analysis,false
SA-R02072,Material,Aggregate gradation issue,5,5,Alternative supplier sourcing,false
SA-R02072,Financial,Cash flow constraint,5,1,Fixed price contracts,true
SA-R02072,Safety,Fire hazard from hot work,5,2,Enhanced safety training,true
SA-R02073,Schedule,Site handover delay,1,3,Accelerated procurement plan,true
SA-R02073,Material,Aggregate gradation issue,3,1,Alternative supplier sourcing,false
SA-R02073,Safety,Electrical shock risk,5,4,Enhanced safety training,false
SA-R02073,Financial,Cash flow constraint,4,2,Fixed price contracts,false
SA-R02073,Structural,Inadequate reinforcement detailing,2,1,Design review and structural analysis,false
SA-R02074,Material,Cement setting time abnormal,5,4,Alternative supplier sourcing,false
SA-R02074,Structural,Column failure potential,4,2,Design review and structural analysis,false
SA-R02074,Schedule,Material procurement delay,2,1,Accelerated procurement plan,false
SA-R02074,Quality,Poor workmanship risk,5,3,Additional testing regime,false
SA-R02074,Financial,Currency fluctuation risk,3,3,Fixed price contracts,true
SA-R02075,Structural,Inadequate reinforcement detailing,2,3,Design review and structural analysis,true
SA-R02075,Safety,Confined space hazard,4,4,Enhanced safety training,false
SA-R02075,Material,Steel corrosion risk,4,3,Alternative supplier sourcing,false
SA-R02075,Schedule,Subcontractor availability,4,2,Accelerated procurement plan,false
SA-R02075,Financial,Cement price increase,1,5,Fixed price contracts,false
SA-R02075,Quality,Poor workmanship risk,3,4,Additional testing regime,false
SA-R02076,Safety,Electrical shock risk,1,1,Enhanced safety training,false
SA-R02076,Financial,Labor shortage cost impact,2,5,Fixed price contracts,true
SA-R02076,Schedule,Material procurement delay,4,5,Accelerated procurement plan,false
SA-R02076,Quality,Tolerance deviation,3,3,Additional testing regime,true
SA-R02076,Material,Cement setting time abnormal,5,5,Alternative supplier sourcing,true
SA-R02077,Material,Concrete strength below spec,3,1,Alternative supplier sourcing,false
SA-R02077,Quality,Incomplete waterproofing,4,5,Additional testing regime,true
SA-R02077,Schedule,Subcontractor availability,4,2,Accelerated procurement plan,true
SA-R02077,Safety,Electrical shock risk,5,4,Enhanced safety training,false
SA-R02078,Financial,Cash flow constraint,3,3,Fixed price contracts,false
SA-R02078,Schedule,Weather delay potential,4,5,Accelerated procurement plan,true
SA-R02078,Quality,Curing duration not met,4,3,Additional testing regime,false
SA-R02078,Material,Aggregate gradation issue,2,4,Alternative supplier sourcing,false
SA-R02079,Material,Block moisture absorption high,3,4,Alternative supplier sourcing,true
SA-R02079,Structural,Column failure potential,4,4,Design review and structural analysis,false
SA-R02079,Safety,Confined space hazard,4,1,Enhanced safety training,true
SA-R02079,Schedule,Material procurement delay,1,3,Accelerated procurement plan,false
SA-R02080,Structural,Slab deflection beyond limits,2,3,Design review and structural analysis,false
SA-R02080,Financial,Steel price volatility,1,4,Fixed price contracts,true
SA-R02081,Schedule,Site handover delay,1,3,Accelerated procurement plan,false
SA-R02081,Material,Aggregate gradation issue,5,3,Alternative supplier sourcing,false
SA-R02081,Safety,Electrical shock risk,2,1,Enhanced safety training,false
SA-R02081,Quality,Testing failure rate high,3,4,Additional testing regime,false
SA-R02082,Structural,Slab deflection beyond limits,1,5,Design review and structural analysis,true
SA-R02082,Material,Block moisture absorption high,4,3,Alternative supplier sourcing,false
SA-R02082,Schedule,Material procurement delay,5,3,Accelerated procurement plan,true
SA-R02082,Financial,Cement price increase,5,3,Fixed price contracts,false
SA-R02082,Safety,Confined space hazard,4,5,Enhanced safety training,true
SA-R02083,Schedule,Permit approval delay,3,5,Accelerated procurement plan,true
SA-R02083,Safety,Confined space hazard,5,3,Enhanced safety training,true
SA-R02084,Financial,Labor shortage cost impact,4,5,Fixed price contracts,false
SA-R02084,Safety,Working at height risk,4,1,Enhanced safety training,false
SA-R02084,Schedule,Weather delay potential,3,2,Accelerated procurement plan,false
SA-R02085,Structural,Foundation settlement risk,4,2,Design review and structural analysis,false
SA-R02085,Financial,Labor shortage cost impact,4,1,Fixed price contracts,true
SA-R02085,Material,Concrete strength below spec,2,1,Alternative supplier sourcing,false
SA-R02086,Material,Block moisture absorption high,1,2,Alternative supplier sourcing,true
SA-R02086,Quality,Incomplete waterproofing,4,5,Additional testing regime,true
SA-R02086,Schedule,Material procurement delay,1,2,Accelerated procurement plan,true
SA-R02086,Safety,Fire hazard from hot work,2,2,Enhanced safety training,false
SA-R02086,Structural,Slab deflection beyond limits,3,5,Design review and structural analysis,false
SA-R02086,Financial,Currency fluctuation risk,2,4,Fixed price contracts,false
SA-R02087,Schedule,Weather delay potential,4,2,Accelerated procurement plan,false
SA-R02087,Material,Concrete strength below spec,2,1,Alternative supplier sourcing,false
SA-R02087,Safety,Working at height risk,2,2,Enhanced safety training,false
SA-R02087,Financial,Cash flow constraint,3,3,Fixed price contracts,false
SA-R02087,Quality,Testing failure rate high,5,3,Additional testing regime,true
SA-R02087,Structural,Crack propagation in shear walls,2,1,Design review and structural analysis,true
SA-R02088,Material,Steel corrosion risk,5,1,Alternative supplier sourcing,true
SA-R02088,Financial,Cement price increase,3,2,Fixed price contracts,false
SA-R02088,Structural,Crack propagation in shear walls,1,3,Design review and structural analysis,false
SA-R02089,Material,Aggregate gradation issue,1,5,Alternative supplier sourcing,false
SA-R02089,Financial,Labor shortage cost impact,1,5,Fixed price contracts,false
SA-R02090,Quality,Curing duration not met,2,5,Additional testing regime,false
SA-R02090,Safety,Working at height risk,3,1,Enhanced safety training,false
SA-R02090,Financial,Cash flow constraint,5,3,Fixed price contracts,false
SA-R02091,Structural,Crack propagation in shear walls,3,3,Design review and structural analysis,true
SA-R02091,Quality,Curing duration not met,4,3,Additional testing regime,false
SA-R02092,Schedule,Subcontractor availability,1,3,Accelerated procurement plan,true
SA-R02092,Material,Block moisture absorption high,2,1,Alternative supplier sourcing,true
SA-R02092,Quality,Testing failure rate high,4,2,Additional testing regime,true
SA-R02092,Financial,Cement price increase,3,2,Fixed price contracts,false
SA-R02092,Structural,Inadequate reinforcement detailing,2,5,Design review and structural analysis,false
SA-R02092,Safety,Fire hazard from hot work,3,2,Enhanced safety training,false
SA-R02093,Financial,Currency fluctuation risk,5,4,Fixed price contracts,false
SA-R02093,Safety,Confined space hazard,3,5,Enhanced safety training,false
SA-R02093,Quality,Curing duration not met,4,4,Additional testing regime,true
SA-R02093,Material,Block moisture absorption high,3,1,Alternative supplier sourcing,true
SA-R02093,Schedule,Site handover delay,2,2,Accelerated procurement plan,true
SA-R02093,Structural,Inadequate reinforcement detailing,4,3,Design review and structural analysis,false
SA-R02094,Financial,Currency fluctuation risk,3,2,Fixed price contracts,true
SA-R02094,Material,Aggregate gradation issue,2,3,Alternative supplier sourcing,true
SA-R02094,Structural,Crack propagation in shear walls,1,5,Design review and structural analysis,true
SA-R02094,Quality,Curing duration not met,5,1,Additional testing regime,true
SA-R02094,Safety,Heavy lifting accident potential,1,4,Enhanced safety training,true
SA-R02094,Schedule,Site handover delay,4,5,Accelerated procurement plan,true
SA-R02095,Material,Concrete strength below spec,3,4,Alternative supplier sourcing,false
SA-R02095,Schedule,Permit approval delay,3,3,Accelerated procurement plan,false
SA-R02096,Safety,Electrical shock risk,1,1,Enhanced safety training,false
SA-R02096,Structural,Crack propagation in shear walls,5,3,Design review and structural analysis,false
SA-R02097,Safety,Electrical shock risk,5,2,Enhanced safety training,false
SA-R02097,Financial,Steel price volatility,1,5,Fixed price contracts,false
SA-R02098,Schedule,Weather delay potential,5,1,Accelerated procurement plan,false
SA-R02098,Material,Steel corrosion risk,1,1,Alternative supplier sourcing,true
SA-R02099,Financial,Labor shortage cost impact,2,3,Fixed price contracts,false
SA-R02099,Structural,Crack propagation in shear walls,5,5,Design review and structural analysis,true
SA-R02099,Material,Block moisture absorption high,4,1,Alternative supplier sourcing,true
SA-R02100,Safety,Electrical shock risk,3,2,Enhanced safety training,false
SA-R02100,Schedule,Material procurement delay,5,5,Accelerated procurement plan,true
SA-R02100,Financial,Cement price increase,3,1,Fixed price contracts,true
SA-R02100,Material,Concrete strength below spec,4,2,Alternative supplier sourcing,true
SA-R02100,Structural,Column failure potential,2,5,Design review and structural analysis,false
SA-R02100,Quality,Testing failure rate high,1,4,Additional testing regime,true
SA-R02101,Structural,Crack propagation in shear walls,2,5,Design review and structural analysis,false
SA-R02101,Material,Block moisture absorption high,4,2,Alternative supplier sourcing,true
SA-R02101,Schedule,Permit approval delay,2,2,Accelerated procurement plan,false
SA-R02101,Financial,Labor shortage cost impact,2,2,Fixed price contracts,false
SA-R02101,Safety,Fire hazard from hot work,1,5,Enhanced safety training,true
SA-R02101,Quality,Poor workmanship risk,4,3,Additional testing regime,false
SA-R02102,Structural,Inadequate reinforcement detailing,2,2,Design review and structural analysis,true
SA-R02102,Material,Steel corrosion risk,5,3,Alternative supplier sourcing,false
SA-R02102,Quality,Tolerance deviation,5,5,Additional testing regime,false
SA-R02103,Financial,Currency fluctuation risk,2,5,Fixed price contracts,true
SA-R02103,Quality,Curing duration not met,3,3,Additional testing regime,false
SA-R02103,Structural,Inadequate reinforcement detailing,5,3,Design review and structural analysis,true
SA-R02103,Material,Concrete strength below spec,3,3,Alternative supplier sourcing,false
SA-R02104,Safety,Electrical shock risk,3,3,Enhanced safety training,false
SA-R02104,Material,Steel corrosion risk,3,3,Alternative supplier sourcing,false
SA-R02105,Material,Concrete strength below spec,4,3,Alternative supplier sourcing,false
SA-R02105,Structural,Slab deflection beyond limits,3,5,Design review and structural analysis,true
SA-R02105,Financial,Cash flow constraint,1,2,Fixed price contracts,true
SA-R02106,Financial,Cement price increase,3,1,Fixed price contracts,false
SA-R02106,Safety,Confined space hazard,3,3,Enhanced safety training,false
SA-R02106,Structural,Slab deflection beyond limits,4,4,Design review and structural analysis,false
SA-R02106,Material,Steel corrosion risk,4,2,Alternative supplier sourcing,true
SA-R02106,Schedule,Material procurement delay,3,5,Accelerated procurement plan,false
SA-R02107,Safety,Fire hazard from hot work,1,5,Enhanced safety training,true
SA-R02107,Financial,Cement price increase,1,2,Fixed price contracts,false
SA-R02108,Schedule,Subcontractor availability,5,4,Accelerated procurement plan,true
SA-R02108,Material,Aggregate gradation issue,3,2,Alternative supplier sourcing,false
SA-R02108,Quality,Testing failure rate high,5,4,Additional testing regime,false
SA-R02108,Financial,Labor shortage cost impact,4,5,Fixed price contracts,true
SA-R02108,Safety,Electrical shock risk,5,3,Enhanced safety training,false
SA-R02108,Structural,Slab deflection beyond limits,1,3,Design review and structural analysis,false
SA-R02109,Safety,Fire hazard from hot work,3,2,Enhanced safety training,true
SA-R02109,Quality,Incomplete waterproofing,5,3,Additional testing regime,false
SA-R02109,Structural,Inadequate reinforcement detailing,1,4,Design review and structural analysis,false
SA-R02109,Material,Aggregate gradation issue,1,3,Alternative supplier sourcing,false
SA-R02110,Safety,Working at height risk,1,3,Enhanced safety training,false
SA-R02110,Structural,Crack propagation in shear walls,3,1,Design review and structural analysis,true
SA-R02110,Financial,Cement price increase,3,2,Fixed price contracts,false
SA-R02110,Schedule,Subcontractor availability,5,4,Accelerated procurement plan,false
SA-R02110,Material,Concrete strength below spec,1,4,Alternative supplier sourcing,true
SA-R02111,Quality,Testing failure rate high,3,4,Additional testing regime,false
SA-R02111,Financial,Cash flow constraint,4,4,Fixed price contracts,true
SA-R02111,Structural,Column failure potential,2,5,Design review and structural analysis,false
SA-R02112,Quality,Incomplete waterproofing,3,1,Additional testing regime,false
SA-R02112,Safety,Working at height risk,4,1,Enhanced safety training,false
SA-R02112,Financial,Cement price increase,2,1,Fixed price contracts,false
SA-R02112,Structural,Slab deflection beyond limits,1,3,Design review and structural analysis,true
SA-R02113,Safety,Working at height risk,3,5,Enhanced safety training,false
SA-R02113,Financial,Cement price increase,3,2,Fixed price contracts,false
SA-R02114,Quality,Incomplete waterproofing,5,2,Additional testing regime,false
SA-R02114,Safety,Confined space hazard,3,2,Enhanced safety training,true
SA-R02114,Schedule,Permit approval delay,3,1,Accelerated procurement plan,true
SA-R02114,Material,Block moisture absorption high,4,3,Alternative supplier sourcing,false
SA-R02114,Financial,Cash flow constraint,2,1,Fixed price contracts,false
SA-R02114,Structural,Foundation settlement risk,1,1,Design review and structural analysis,false
SA-R02115,Schedule,Site handover delay,4,3,Accelerated procurement plan,false
SA-R02115,Safety,Fire hazard from hot work,1,3,Enhanced safety training,false
SA-R02115,Quality,Incomplete waterproofing,5,4,Additional testing regime,false
SA-R02115,Financial,Steel price volatility,1,2,Fixed price contracts,false
SA-R02116,Quality,Testing failure rate high,5,2,Additional testing regime,true
SA-R02116,Financial,Cement price increase,2,1,Fixed price contracts,false
SA-R02116,Schedule,Site handover delay,2,4,Accelerated procurement plan,false
SA-R02117,Material,Steel corrosion risk,4,2,Alternative supplier sourcing,true
SA-R02117,Financial,Currency fluctuation risk,4,3,Fixed price contracts,false
SA-R02117,Safety,Working at height risk,5,1,Enhanced safety training,true
SA-R02117,Structural,Inadequate reinforcement detailing,5,4,Design review and structural analysis,true
SA-R02118,Structural,Crack propagation in shear walls,2,2,Design review and structural analysis,false
SA-R02118,Material,Steel corrosion risk,1,4,Alternative supplier sourcing,false
SA-R02118,Schedule,Weather delay potential,2,2,Accelerated procurement plan,true
SA-R02118,Financial,Labor shortage cost impact,2,5,Fixed price contracts,true
SA-R02119,Safety,Electrical shock risk,3,3,Enhanced safety training,false
SA-R02119,Structural,Foundation settlement risk,5,2,Design review and structural analysis,true
SA-R02119,Material,Concrete strength below spec,3,2,Alternative supplier sourcing,false
SA-R02120,Safety,Electrical shock risk,3,5,Enhanced safety training,false
SA-R02120,Financial,Labor shortage cost impact,1,5,Fixed price contracts,false
SA-R02120,Schedule,Subcontractor availability,3,5,Accelerated procurement plan,false
SA-R02121,Financial,Currency fluctuation risk,2,3,Fixed price contracts,false
SA-R02121,Material,Steel corrosion risk,2,2,Alternative supplier sourcing,false
SA-R02121,Safety,Working at height risk,1,2,Enhanced safety training,true
SA-R02121,Structural,Inadequate reinforcement detailing,1,3,Design review and structural analysis,false
SA-R02122,Safety,Confined space hazard,2,1,Enhanced safety training,true
SA-R02122,Structural,Column failure potential,3,2,Design review and structural analysis,false
SA-R02122,Quality,Curing duration not met,3,4,Additional testing regime,false
SA-R02122,Material,Concrete strength below spec,4,1,Alternative supplier sourcing,true
SA-R02123,Financial,Cement price increase,3,1,Fixed price contracts,true
SA-R02123,Structural,Slab deflection beyond limits,3,4,Design review and structural analysis,false
SA-R02123,Quality,Poor workmanship risk,3,2,Additional testing regime,true
SA-R02123,Material,Steel corrosion risk,2,4,Alternative supplier sourcing,true
SA-R02123,Schedule,Site handover delay,2,3,Accelerated procurement plan,false
SA-R02124,Quality,Tolerance deviation,1,2,Additional testing regime,true
SA-R02124,Financial,Labor shortage cost impact,3,3,Fixed price contracts,false
SA-R02124,Structural,Foundation settlement risk,5,4,Design review and structural analysis,false
SA-R02125,Safety,Working at height risk,4,3,Enhanced safety training,true
SA-R02125,Financial,Cement price increase,3,5,Fixed price contracts,false
SA-R02125,Schedule,Material procurement delay,5,5,Accelerated procurement plan,false
SA-R02126,Schedule,Site handover delay,3,1,Accelerated procurement plan,false
SA-R02126,Quality,Testing failure rate high,2,4,Additional testing regime,true
SA-R02126,Structural,Inadequate reinforcement detailing,4,3,Design review and structural analysis,false
SA-R02126,Financial,Cash flow constraint,5,5,Fixed price contracts,true
SA-R02127,Structural,Slab deflection beyond limits,5,3,Design review and structural analysis,false
SA-R02127,Quality,Curing duration not met,2,1,Additional testing regime,true
SA-R02127,Material,Steel corrosion risk,3,2,Alternative supplier sourcing,false
SA-R02127,Schedule,Site handover delay,4,4,Accelerated procurement plan,true
SA-R02127,Safety,Working at height risk,1,1,Enhanced safety training,true
SA-R02127,Financial,Cement price increase,5,5,Fixed price contracts,true
SA-R02128,Financial,Cash flow constraint,5,3,Fixed price contracts,false
SA-R02128,Safety,Confined space hazard,2,1,Enhanced safety training,true
SA-R02128,Quality,Curing duration not met,5,1,Additional testing regime,false
SA-R02129,Schedule,Subcontractor availability,5,4,Accelerated procurement plan,false
SA-R02129,Financial,Currency fluctuation risk,4,5,Fixed price contracts,true
SA-R02129,Structural,Inadequate reinforcement detailing,4,3,Design review and structural analysis,false
SA-R02129,Safety,Fire hazard from hot work,4,1,Enhanced safety training,false
SA-R02130,Structural,Inadequate reinforcement detailing,5,2,Design review and structural analysis,true
SA-R02130,Material,Block moisture absorption high,3,5,Alternative supplier sourcing,false
SA-R02130,Quality,Tolerance deviation,1,5,Additional testing regime,false
SA-R02131,Quality,Tolerance deviation,3,2,Additional testing regime,true
SA-R02131,Financial,Cash flow constraint,3,3,Fixed price contracts,false
SA-R02131,Structural,Inadequate reinforcement detailing,2,2,Design review and structural analysis,true
SA-R02131,Safety,Heavy lifting accident potential,4,4,Enhanced safety training,false
SA-R02131,Schedule,Subcontractor availability,4,4,Accelerated procurement plan,false
SA-R02131,Material,Cement setting time abnormal,3,4,Alternative supplier sourcing,true
SA-R02132,Financial,Cash flow constraint,5,1,Fixed price contracts,true
SA-R02132,Structural,Foundation settlement risk,5,2,Design review and structural analysis,true
SA-R02132,Schedule,Permit approval delay,3,2,Accelerated procurement plan,false
SA-R02132,Safety,Fire hazard from hot work,5,3,Enhanced safety training,false
SA-R02132,Quality,Curing duration not met,1,1,Additional testing regime,false
SA-R02132,Material,Cement setting time abnormal,3,3,Alternative supplier sourcing,true
SA-R02133,Structural,Inadequate reinforcement detailing,1,2,Design review and structural analysis,false
SA-R02133,Material,Aggregate gradation issue,4,2,Alternative supplier sourcing,false
SA-R02133,Quality,Poor workmanship risk,3,1,Additional testing regime,false
SA-R02133,Schedule,Permit approval delay,4,2,Accelerated procurement plan,true
SA-R02133,Financial,Currency fluctuation risk,1,1,Fixed price contracts,false
SA-R02134,Financial,Cement price increase,4,2,Fixed price contracts,false
SA-R02134,Schedule,Site handover delay,1,4,Accelerated procurement plan,true
SA-R02134,Material,Cement setting time abnormal,5,1,Alternative supplier sourcing,true
SA-R02134,Structural,Slab deflection beyond limits,3,4,Design review and structural analysis,true
SA-R02134,Safety,Confined space hazard,3,5,Enhanced safety training,false
SA-R02135,Schedule,Material procurement delay,3,4,Accelerated procurement plan,false
SA-R02135,Structural,Slab deflection beyond limits,2,1,Design review and structural analysis,false
SA-R02136,Quality,Incomplete waterproofing,1,4,Additional testing regime,true
SA-R02136,Structural,Column failure potential,4,3,Design review and structural analysis,false
SA-R02137,Schedule,Material procurement delay,1,2,Accelerated procurement plan,true
SA-R02137,Material,Block moisture absorption high,5,1,Alternative supplier sourcing,true
SA-R02137,Safety,Electrical shock risk,3,4,Enhanced safety training,true
SA-R02137,Quality,Tolerance deviation,2,1,Additional testing regime,false
SA-R02137,Structural,Slab deflection beyond limits,3,3,Design review and structural analysis,true
SA-R02137,Financial,Labor shortage cost impact,4,4,Fixed price contracts,true
SA-R02138,Material,Aggregate gradation issue,3,1,Alternative supplier sourcing,true
SA-R02138,Structural,Foundation settlement risk,1,4,Design review and structural analysis,false
SA-R02139,Structural,Slab deflection beyond limits,2,3,Design review and structural analysis,false
SA-R02139,Quality,Incomplete waterproofing,5,5,Additional testing regime,true
SA-R02139,Material,Cement setting time abnormal,2,4,Alternative supplier sourcing,false
SA-R02139,Schedule,Weather delay potential,1,2,Accelerated procurement plan,false
SA-R02140,Schedule,Site handover delay,2,1,Accelerated procurement plan,false
SA-R02140,Financial,Cement price increase,2,1,Fixed price contracts,true
SA-R02140,Material,Block moisture absorption high,4,4,Alternative supplier sourcing,false
SA-R02140,Quality,Poor workmanship risk,4,1,Additional testing regime,true
SA-R02140,Structural,Inadequate reinforcement detailing,5,5,Design review and structural analysis,true
SA-R02141,Financial,Cash flow constraint,2,2,Fixed price contracts,false
SA-R02141,Safety,Electrical shock risk,1,4,Enhanced safety training,false
SA-R02141,Schedule,Permit approval delay,5,5,Accelerated procurement plan,true
SA-R02141,Material,Aggregate gradation issue,3,2,Alternative supplier sourcing,false
SA-R02142,Financial,Steel price volatility,5,1,Fixed price contracts,true
SA-R02142,Safety,Heavy lifting accident potential,4,3,Enhanced safety training,false
SA-R02142,Schedule,Permit approval delay,1,2,Accelerated procurement plan,false
SA-R02142,Quality,Curing duration not met,5,1,Additional testing regime,true
SA-R02142,Material,Steel corrosion risk,2,5,Alternative supplier sourcing,false
SA-R02143,Structural,Inadequate reinforcement detailing,3,4,Design review and structural analysis,false
SA-R02143,Material,Cement setting time abnormal,1,2,Alternative supplier sourcing,false
SA-R02143,Schedule,Site handover delay,4,5,Accelerated procurement plan,false
SA-R02143,Safety,Fire hazard from hot work,5,3,Enhanced safety training,true
SA-R02143,Financial,Cement price increase,2,4,Fixed price contracts,false
SA-R02144,Structural,Column failure potential,1,4,Design review and structural analysis,false
SA-R02144,Material,Concrete strength below spec,5,4,Alternative supplier sourcing,false
SA-R02144,Financial,Cement price increase,3,3,Fixed price contracts,false
SA-R02144,Safety,Confined space hazard,4,2,Enhanced safety training,true
SA-R02144,Schedule,Weather delay potential,2,2,Accelerated procurement plan,false
SA-R02144,Quality,Poor workmanship risk,4,4,Additional testing regime,false
SA-R02145,Quality,Curing duration not met,2,5,Additional testing regime,true
SA-R02145,Schedule,Site handover delay,1,5,Accelerated procurement plan,false
SA-R02145,Material,Steel corrosion risk,5,4,Alternative supplier sourcing,false
SA-R02145,Structural,Crack propagation in shear walls,4,5,Design review and structural analysis,true
SA-R02146,Material,Cement setting time abnormal,5,1,Alternative supplier sourcing,false
SA-R02146,Safety,Confined space hazard,1,5,Enhanced safety training,true
SA-R02146,Structural,Inadequate reinforcement detailing,2,1,Design review and structural analysis,true
SA-R02146,Schedule,Site handover delay,4,5,Accelerated procurement plan,false
SA-R02146,Financial,Cement price increase,5,2,Fixed price contracts,true
SA-R02147,Quality,Poor workmanship risk,5,2,Additional testing regime,false
SA-R02147,Safety,Electrical shock risk,5,3,Enhanced safety training,false
SA-R02147,Financial,Steel price volatility,5,2,Fixed price contracts,false
SA-R02147,Schedule,Site handover delay,2,1,Accelerated procurement plan,true
SA-R02147,Material,Concrete strength below spec,1,3,Alternative supplier sourcing,true
SA-R02147,Structural,Column failure potential,5,3,Design review and structural analysis,true
SA-R02148,Schedule,Permit approval delay,2,2,Accelerated procurement plan,false
SA-R02148,Financial,Cash flow constraint,4,2,Fixed price contracts,true
SA-R02149,Financial,Currency fluctuation risk,2,5,Fixed price contracts,false
SA-R02149,Material,Block moisture absorption high,4,4,Alternative supplier sourcing,false
SA-R02149,Quality,Testing failure rate high,3,5,Additional testing regime,true
SA-R02150,Structural,Slab deflection beyond limits,5,1,Design review and structural analysis,false
SA-R02150,Material,Steel corrosion risk,5,5,Alternative supplier sourcing,true
SA-R02150,Schedule,Permit approval delay,3,4,Accelerated procurement plan,false
SA-R02150,Quality,Testing failure rate high,4,2,Additional testing regime,false
SA-R02150,Financial,Cash flow constraint,1,3,Fixed price contracts,false
SA-R02150,Safety,Fire hazard from hot work,5,2,Enhanced safety training,true
SA-R02151,Structural,Crack propagation in shear walls,1,3,Design review and structural analysis,true
SA-R02151,Material,Aggregate gradation issue,5,5,Alternative supplier sourcing,false
SA-R02152,Financial,Currency fluctuation risk,1,5,Fixed price contracts,true
SA-R02152,Structural,Crack propagation in shear walls,4,5,Design review and structural analysis,true
SA-R02152,Safety,Heavy lifting accident potential,2,1,Enhanced safety training,false
SA-R02152,Material,Block moisture absorption high,2,3,Alternative supplier sourcing,true
SA-R02152,Schedule,Subcontractor availability,4,2,Accelerated procurement plan,true
SA-R02152,Quality,Testing failure rate high,1,3,Additional testing regime,false
SA-R02153,Quality,Incomplete waterproofing,1,2,Additional testing regime,true
SA-R02153,Financial,Cash flow constraint,5,1,Fixed price contracts,true
SA-R02153,Structural,Crack propagation in shear walls,2,2,Design review and structural analysis,true
SA-R02153,Material,Steel corrosion risk,1,3,Alternative supplier sourcing,false
SA-R02153,Schedule,Permit approval delay,2,4,Accelerated procurement plan,false
SA-R02153,Safety,Confined space hazard,3,3,Enhanced safety training,true
SA-R02154,Financial,Labor shortage cost impact,2,5,Fixed price contracts,false
SA-R02154,Safety,Heavy lifting accident potential,2,1,Enhanced safety training,false
SA-R02155,Schedule,Site handover delay,2,3,Accelerated procurement plan,false
SA-R02155,Quality,Incomplete waterproofing,2,4,Additional testing regime,false
SA-R02155,Material,Cement setting time abnormal,4,2,Alternative supplier sourcing,false
SA-R02156,Material,Block moisture absorption high,4,1,Alternative supplier sourcing,false
SA-R02156,Structural,Foundation settlement risk,4,5,Design review and structural analysis,true
SA-R02156,Quality,Incomplete waterproofing,5,2,Additional testing regime,true
SA-R02156,Schedule,Site handover delay,4,2,Accelerated procurement plan,false
SA-R02156,Safety,Confined space hazard,5,4,Enhanced safety training,false
SA-R02157,Structural,Slab deflection beyond limits,4,3,Design review and structural analysis,true
SA-R02157,Financial,Cement price increase,2,4,Fixed price contracts,false
SA-R02157,Material,Aggregate gradation issue,4,5,Alternative supplier sourcing,true
SA-R02157,Safety,Heavy lifting accident potential,3,4,Enhanced safety training,false
